node:ID,name,:LABEL
h_99e7d57dcda25eece081aa862b1e033de0c9e4cbffcfbf333e88aa2466466d5a,柏子仁,草药
h_616e87939ab49da0cdc0c68ea8bf0126e78f9482ebbd41ebdceaffb1fb7e909e,知母,草药
h_9e40cebbf898c2cedb31aa05ceb204b8c130d292e8fb7103920e2a4f41dab2fd,川柏,草药
h_958e0431b19e9239be3a4b9f80ca28dd9a2daa5ac13984c5d1e86d3fec366339,西柏末,草药
h_67d5755c6c9eea58d41b0d0356fb77dd4a145096cf62b6d8981c8c5a288fdb63,自拟方_cxszsqhasdzfzlxj,方剂
h_b8fb9fc968612bcf595c48c2f9fd7e90fb22535c06283958844fc3de4b53040c,心悸,疾病
h_4430e520990296b8825994bd007788ee3d917e2e1e4ac8b450c3298140570b84,大生地,草药
h_d84ec1b112ed00b717f39364aaedfcd4e92f06e99bff21becd5d77fb7aa3ed2b,广郁金,草药
h_b445803252b5be10fab49f33c9ed603bd6c3e1e45b8d2a4234f455e7dbb2f8eb,川连,草药
h_c2a4b02f7c20439df12009e1cb0fe0facd7554f56e71f3f23c53c709f1cc88d4,五味子,草药
h_493c1604effef00c489518f6b013f73e3515d552ba9b9faf6db1c75a6bba50cc,远志,草药
h_ea9e8d502ba16cf083539b6ddd06f15b88bd3506cfc87c1609cba4c826d408de,清热利湿自拟方_cxsqlsrsghyfzlyy,方剂
h_709d78d9239b33a47128da54d8638147462f5b5261f96dc5c469c346fd31d3fa,阴痒,疾病
h_bc236402358a8be302ecf27155d4541903f0ed4735e95a5ffe56ae626206ab1f,蒲公英,草药
h_dde603e74ac46c1b3945469d91e02eb5d343164b0893da5935f79f8e411b8fdb,椿根皮,草药
h_c8c6c667ed564fbdd035b9dcdc05a64f0531f3bb8f47cefa166288e765368145,蛇床子,草药
h_b33c8c0619aa2e5cf5a112a7fb213847b21ad764925024ba84457b40b9aebff1,青皮,草药
h_b680661e8a7b783acd7c781061a346ad7377f466873c95a17e80bcb055fc5e7a,生草梢,草药
h_61ae19e739b1c064454044aac0c8b2127243761abe3c255cffbe29bae23c6ee7,方剂_cxslsxhfzlyjgd,方剂
h_2e6b6ba7e8c489103a4809192cc283a391c073843c9a855a84d21da62c38df38,月经过多,疾病
h_17b553162d3d9ef64eee6f3c2624d5230ba45c24ab3b61cc69e87901ab905cc4,姜半夏,草药
h_fc0121e0b2f050abbeabc052b84cecccd649716880edbb7e7e814f4050d54437,生米仁,草药
h_6f0b81f6a67d24d2bb2816b5ba57bcb39014841e6d9d718d3844ac3cc0ec0cad,白槿花,草药
h_5be25b6fc96502247d7abf3454558054481024b73925b88a4b9e2a55860f56df,黑山栀,草药
h_b7f04aae14eddbc7a5b9f8bf9bf83a60d5e86f580fe8e8660ec781b5c53179c9,加味甘麦大枣汤，逍遥丸_cxspgqylqhxfzljxtt,方剂
h_4b1a64e1d54978cac983d625653a46641d9a7cd77158bac66f9894cc7daa6089,经行头痛,疾病
h_5f520fec39d7fe577449fca7d7dbebc0b8f120c86477558c181ae92cc5723363,炒当归,草药
h_24b9d169123d13ca4208d9599c37aff102813b10d73077e2988ba9d3a5011d99,嫩钩藤,草药
h_529cd7871f9a8be5cd57c2467f1dd00e17a1051cebdb338273128c41e063ab1b,石决明,草药
h_6ee72f9d7c75c596a9a5938b8fb65dcb34f7f2d746351854499fe2af5cff0b8c,金铃子,草药
h_5bcd798d1880267e8149dcf967c58dac4167054950747b5671c19aaa084dbce7,全瓜篓,草药
h_602ca728219c365f1bdf769d84de8913bb33f8c381b6803e166dfd7f912a497b,单皮,草药
h_1e04bd604120853695597a5518cc0b077a2938c5ca151cb40d63d117674636e4,方剂_cxsgxsglqbjpsfzlby,方剂
h_9189e075c331854271c184c4e70dad0dfaedfd9a55d2a1298a0f246672e5f1e0,不孕,疾病
h_56d48c76a264eb28e2012a8b11e77f05c48456504c3a2048460ca59455c9cc17,熟女贞,草药
h_701066bc70f6904ac439f608784b5c235926399c8cab06748958582f45f77780,川楝子,草药
h_c54d8efb5433b199afbc6979850ed7c7edcc33d07d3a1dd1c3c4ce956e0180bc,乌鸡白凤丸（吞）一粒,草药
h_d8f6f5e1f22345f8e86be20787491d8610307b132a2387d7ba11fafaddf289a5,方剂_cxszshmpgqyfzltt,方剂
h_b2ac3c986db16b77e4a1096a3f4b2f229111ba7034982507fb950c356597fea6,头痛,疾病
h_48e3245bf2e591dcd6f4c6dc04d9ab2449d1176e42413c76f143d55cece0850d,滁菊,草药
h_3af98577c805ed44761ed74cd344b8b34c3a1772239820c9ab043aa929a4b5e1,银僵蚕,草药
h_7a99445d8e7bdc38aae411b4540e394b627fb183fa936b739156525d75092a25,怀牛膝,草药
h_c0a53e1d7d097635a04e2d16b9fd23c8656cda529063ac2e29f1d83ed6c3b5fe,山萸肉,草药
h_be8e140f3c1541b58fd23f7b6cdcc50f65d096337c476e99ad19bfdb94ff5505,煅龙骨,草药
h_6c96b4fcf7ea5ad7701b0103f715a0be131560f2ce17f815ae91024584fca88e,条芩,草药
h_dc2b2f46fb1427d47d2bc1e46ba237db554597d2f266d99539be6a78b7206e1f,生石决,草药
h_639776dfc5ce4260906d21c0909996e6d0894c31722df790509fff6a6cec9fea,加减青蒿鳖甲汤_cxsyyqrrgjydlpwzygsfzljb,方剂
h_70029e404ae6c2d991b59c5e2f13b5ea7f171e21808d4d47f494d112872ae99d,经闭,疾病
h_391e8cbb3a5fe19420aec40012e4b1cd9a5ef63a404900cd256ffa9251caa927,青蒿,草药
h_a228acd3e21cb5519d5959b07414fe4bd569824e7a1f2f0cff79f64fed216d68,杭白菊,草药
h_28360c07e0cc0732167015f417168a67e6b405abbd236b367360e540acb42424,地骨皮,草药
h_e6c2037ba4c7d4ce805a580f4fd701c95bcde7a359ee801db6c0572b291cca0d,制首乌,草药
h_8b265e9b40625e2faf5faa117f9149ac62ddb9bcc5879cf7605056864d298196,鳖甲,草药
h_1b0b62ad575e1382771ecccce4a62e506e5843f6c25e812b6dd4a1ea1660a58a,自拟理气通络方_cxssglqhxtlfzlby,方剂
h_1bd6565f12e59a4b40c5596cd93b54c6522bc4321013110880590cb7afe179c8,柴胡梢,草药
h_6a69edc6d55622a7f8bf0ff155d36556e53f65962108a62ab3c0e452f5381be1,制香附,草药
h_0e1ad978a027c288418c2edea4b03e757ff5462cf1346a3d1b7c9600a17c304d,乌药,草药
h_1cdeae2ad74fdbbf243fd189e3f6b701d8a93bda93bc48d9f6ed0d6226b57381,炙甲片,草药
h_6e0c1e44923cb30a33721dc878a2ae5dc5d84b39595b3dee9562e5986854bfd3,皂角刺,草药
h_7cf2d3451e99b967adabb3f6279581a4aa8146cbe32d69d818f54c9ff398cfbb,川桂枝,草药
h_4e86c4ae627cbf479edb3a8985381891e47e630393ff840528bacec2f691039d,全瓜蒌,草药
h_fc61d34522f24d38ab9300d50f835a48a553f81c56974609a2f1586ee9cff4c0,方剂_cxsysdjfzljb,方剂
h_d18092e49e8aab8208ff812a88210faf7837b36b8422a0fbcf06070f90b4ab0d,炒潞党,草药
h_fd33eb2c2c73033ee517cc58ab02bd8438ba0f2d77b62a3425f46860d746d4e0,制黄精,草药
h_290a526e4bd9e901664cb9833c41900ace2b1023f68b42a05c02baa480586c4c,熟地,草药
h_34507ff71a607a7582969f7305bf01c01af174bf85e0b957dfe7472a4e908b06,炒杜仲,草药
h_0c14ba3f37fdcdde3d4c3f272ac280cb6bae956d2f1359e5401891536e0bd7ee,川断,草药
h_b628f8649c560790e205223a7523d6f886c33f4b9d4145d0d526f0949fb995ca,仙灵脾,草药
h_941b6f6b2f715d29f42bad865276d9c34a826b656dd55c3051937ae34f5c0ac9,苁蓉,草药
h_9fe272bd243e366e69c0094f2279310549f1e5562d2647dfefc6c58d5003d8d7,巴戟肉,草药
h_1a492e17d8b4193f97a170e4e31b5680a57acc4bb04d9096f6e039d5622141f9,方剂_cxsdgcrqysxfzlbl,方剂
h_42a32be7f87c0a16d2759e0849ea75ccf9016f6944ad19b3eb4495ff8f09ecb1,崩漏,疾病
h_cc8cb1c6e147b5925a5121930884d18f8d56926e0a7c22dfb8a25230356dec70,生地炭,草药
h_97a37403dc564aff08c27e317d9d510c1d18cc71cb34b7855ac32f81124b3541,炮姜炭,草药
